Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
CCL23	Ckb-8, CKb8, MIP-3, MPIF-1, SCYA23	ENSG00000274736	C-C motif chemokine ligand 23	P55773	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL24	Ckb-6, eotaxin-2, MPIF-2, MPIF2, SCYA24	ENSG00000106178	C-C motif chemokine ligand 24	O00175	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL25	Ckb15, SCYA25, TECK	ENSG00000131142	C-C motif chemokine ligand 25	O15444	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL26	eotaxin-3, IMAC, MIP-4a, MIP-4alpha, SCYA26, TSC-1	ENSG00000006606	C-C motif chemokine ligand 26	Q9Y258	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL27	ALP, CTACK, CTAK, ESkine, ILC, PESKY, SCYA27, skinkine	ENSG00000213927	C-C motif chemokine ligand 27	Q9Y4X3	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CCL28	CCK1, MEC, SCYA28	ENSG00000151882	C-C motif chemokine ligand 28	Q9NRJ3	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CCL3	G0S19-1, LD78ALPHA, MIP-1-alpha, SCYA3	ENSG00000277632	C-C motif chemokine ligand 3	P10147	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL3L1	CCL3L3, D17S1718, G0S19-2, LD78BETA, MGC12815, SCYA3L, SCYA3L1	ENSG00000276085	C-C motif chemokine ligand 3 like 1	P16619	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL4	Act-2, AT744.1, LAG1, MIP-1-beta, SCYA4	ENSG00000275302	C-C motif chemokine ligand 4	P13236	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL4L2		ENSG00000276070	C-C motif chemokine ligand 4 like 2	Q8NHW4	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL5	D17S136E, MGC17164, RANTES, SCYA5, SISd, TCP228	ENSG00000271503	C-C motif chemokine ligand 5	P13501	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL7	FIC, MARC, MCP-3, MCP3, NC28, SCYA6, SCYA7	ENSG00000108688	C-C motif chemokine ligand 7	P80098	Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CCL8	HC14, MCP-2, SCYA8	ENSG00000108700	C-C motif chemokine ligand 8	P80075	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CD14		ENSG00000170458	CD14 molecule	P08571	Cancer-related genes, CD markers, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CD40	Bp50, p50, TNFRSF5	ENSG00000101017	CD40 molecule	P25942	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CD40LG	CD154, CD40L, gp39, hCD40L, HIGM1, IMD3, TNFSF5, TRAP	ENSG00000102245	CD40 ligand	P29965	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CD55	CR, CROM, DAF, TC	ENSG00000196352	CD55 molecule (Cromer blood group)	P08174	Blood group antigen proteins, CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CD5L	API6, Spalpha	ENSG00000073754	CD5 molecule like	O43866	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CD6	Tp120	ENSG00000013725	CD6 molecule	P30203	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CDCP2		ENSG00000157211	CUB domain containing protein 2	Q5VXM1	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CDNF	ARMETL1	ENSG00000185267	Cerebral dopamine neurotrophic factor	Q49AH0	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CDSN	D6S586E	ENSG00000204539	Corneodesmosin		Predicted secreted proteins	Evidence at protein level	Evidence at protein level	
CEACAM16	DFNA4B	ENSG00000213892	Carcinoembryonic antigen related cell adhesion molecule 16	Q2WEN9	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CEL	BSSL, MODY8	ENSG00000170835	Carboxyl ester lipase		Predicted secreted proteins	Evidence at protein level	Evidence at protein level	
CELA1	ELA1	ENSG00000139610	Chymotrypsin like elastase family member 1	Q9UNI1	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CELA2A	ELA2A	ENSG00000142615	Chymotrypsin like elastase family member 2A	P08217	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CELA2B	ELA2B, RP11-265F14.2	ENSG00000215704	Chymotrypsin like elastase family member 2B	P08218	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CELA3A	ELA3, ELA3A	ENSG00000142789	Chymotrypsin like elastase family member 3A	P09093	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CELA3B	CBPP, ELA3B	ENSG00000219073	Chymotrypsin like elastase family member 3B	P08861	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CEMIP	HYBID, IR2155535, KIAA1199, TMEM2L	ENSG00000103888	Cell migration inducing hyaluronan binding protein	Q8WUJ3	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CER1	DAND4	ENSG00000147869	Cerberus 1, DAN family BMP antagonist	O95813	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CES4A	CES8, FLJ37464	ENSG00000172824	Carboxylesterase 4A	Q5XG92	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CES5A	CAUXIN, CES4C1, CES5, CES7, FLJ31547	ENSG00000159398	Carboxylesterase 5A	Q6NT32	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CETP	BPIFF	ENSG00000087237	Cholesteryl ester transfer protein	P11597	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CFB	BF, BFD, H2-Bf	ENSG00000243649	Complement factor B	P00751	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CFC1	CRYPTIC, HTX2	ENSG00000136698	Cripto, FRL-1, cryptic family 1	P0CG37	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CFC1B		ENSG00000152093	Cripto, FRL-1, cryptic family 1B	P0CG36	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
CFD	ADN, DF, PFD	ENSG00000197766	Complement factor D	P00746	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CFH	ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS	ENSG00000000971	Complement factor H	P08603	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CFHR1	CFHL, CFHL1, CFHL1P, CFHR1P, FHR1, H36-1, H36-2, HFL1, HFL2	ENSG00000244414	Complement factor H related 1	Q03591	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CFHR2	CFHL2, FHR2, HFL3	ENSG00000080910	Complement factor H related 2	P36980	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CFHR3	CFHL3, DOWN16, FHR-3, FHR3, HLF4	ENSG00000116785	Complement factor H related 3	Q02985	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CFHR4	CFHL4, FHR-4, FHR4	ENSG00000134365	Complement factor H related 4	Q92496	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CFHR5	CFHL5, FHR-5, FHR5	ENSG00000134389	Complement factor H related 5	Q9BXR6	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CFI	C3b-INA, FI, IF, KAF	ENSG00000205403	Complement factor I	P05156	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CFP	PFC	ENSG00000126759	Complement factor properdin	P27918	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CGA	FSHA, GPHa, GPHA1, HCG, LHA, TSHA	ENSG00000135346	Glycoprotein hormones, alpha polypeptide	P01215	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CGB1		ENSG00000267631	Chorionic gonadotropin beta subunit 1	A6NKQ9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CGB2		ENSG00000104818	Chorionic gonadotropin beta subunit 2		Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	
CGB3	CGB	ENSG00000104827	Chorionic gonadotropin beta subunit 3	P0DN86	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CGB5	HCG	ENSG00000189052	Chorionic gonadotropin beta subunit 5	P0DN86	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CGB7	CG-beta-a	ENSG00000196337	Chorionic gonadotropin beta subunit 7	P0DN87	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CGB8		ENSG00000213030	Chorionic gonadotropin beta subunit 8	P0DN86	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CGREF1	CGR11	ENSG00000138028	Cell growth regulator with EF-hand domain 1	Q99674	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CHAD	SLRR4A	ENSG00000136457	Chondroadherin	O15335	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CHADL	SLRR4B	ENSG00000100399	Chondroadherin like	Q6NUI6	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CHI3L1	GP39, YKL40	ENSG00000133048	Chitinase 3 like 1	P36222	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CHI3L2	YKL-39, YKL39	ENSG00000064886	Chitinase 3 like 2	Q15782	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CHIT1	CHI3, CHIT	ENSG00000133063	Chitinase 1	Q13231	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CHRD		ENSG00000090539	Chordin	Q9H2X0	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CHRDL1	CHL, MGC1, NRLN1	ENSG00000101938	Chordin like 1	Q9BU40	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CHRDL2	BNF1	ENSG00000054938	Chordin like 2	Q6WN34	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CHSY1	CSS1, KIAA0990	ENSG00000131873	Chondroitin sulfate synthase 1	Q86X52	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CILP	HsT18872	ENSG00000138615	Cartilage intermediate layer protein	O75339	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CILP2	MGC45771	ENSG00000160161	Cartilage intermediate layer protein 2	Q8IUL8	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CKLF	C32, CKLF1, CKLF3, CKLF4, HSPC224, UCK-1	ENSG00000217555	Chemokine like factor	Q9UBR5	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CLCA1	CaCC, CLCRG1	ENSG00000016490	Chloride channel accessory 1	A8K7I4	Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
CLCF1	BSF-3, BSF3, CISS2, CLC, NNT-1, NNT1, NR6	ENSG00000175505	Cardiotrophin like cytokine factor 1	Q9UBD9	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CLEC11A	CLECSF3, LSLCL, P47, SCGF	ENSG00000105472	C-type lectin domain containing 11A	Q9Y240	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CLEC18A	MRCL	ENSG00000157322	C-type lectin domain family 18 member A	A5D8T8	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CLEC18B	MRCL2	ENSG00000140839	C-type lectin domain family 18 member B	Q6UXF7	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CLEC18C	MGC34761, MRCL3	ENSG00000157335	C-type lectin domain family 18 member C	Q8NCF0	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CLEC19A		ENSG00000261210	C-type lectin domain containing 19A	Q6UXS0	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CLEC3A	CLECSF1	ENSG00000166509	C-type lectin domain family 3 member A		Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
CLEC3B	TN, TNA	ENSG00000163815	C-type lectin domain family 3 member B	P05452	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CLPS		ENSG00000137392	Colipase	P04118	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CLPSL1	C6orf127, dJ510O8.6	ENSG00000204140	Colipase like 1	A2RUU4	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CLPSL2	C6orf126, dJ510O8.5, UNQ3045	ENSG00000196748	Colipase like 2	Q6UWE3	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CLU	APOJ, CLI, CLU1, CLU2, KUB1, SGP-2, SP-40, TRPM-2	ENSG00000120885	Clusterin	P10909	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CMA1		ENSG00000092009	Chymase 1	P23946	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CNBD1	FLJ35802	ENSG00000176571	Cyclic nucleotide binding domain containing 1	Q8NA66	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CNDP1	CN1, CPGL2, HsT2308, MGC10825	ENSG00000150656	Carnosine dipeptidase 1	Q96KN2	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CNMD	BRICD3, CHM-I, CHM1, LECT1, MYETS1	ENSG00000136110	Chondromodulin	O75829	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CNTN2	AXT, TAG-1, TAX, TAX1	ENSG00000184144	Contactin 2	Q02246	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COCH	COCH-5B2, DFNA31, DFNA9	ENSG00000100473	Cochlin	O43405	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL10A1		ENSG00000123500	Collagen type X alpha 1 chain	Q03692	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL11A1	CO11A1, COLL6, STL2	ENSG00000060718	Collagen type XI alpha 1 chain	P12107	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL11A2	DFNA13, DFNB53, HKE5	ENSG00000204248	Collagen type XI alpha 2 chain	P13942	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL12A1	COL12A1L	ENSG00000111799	Collagen type XII alpha 1 chain	Q99715	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL14A1	UND	ENSG00000187955	Collagen type XIV alpha 1 chain	Q05707	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL15A1		ENSG00000204291	Collagen type XV alpha 1 chain	P39059	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL18A1	KNO, KNO1, KS	ENSG00000182871	Collagen type XVIII alpha 1 chain	P39060	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL19A1		ENSG00000082293	Collagen type XIX alpha 1 chain	Q14993	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL1A1	OI4	ENSG00000108821	Collagen type I alpha 1 chain	P02452	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL1A2	OI4	ENSG00000164692	Collagen type I alpha 2 chain	P08123	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL20A1	KIAA1510	ENSG00000101203	Collagen type XX alpha 1 chain	Q9P218	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL21A1		ENSG00000124749	Collagen type XXI alpha 1 chain	Q96P44	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
COL22A1		ENSG00000169436	Collagen type XXII alpha 1 chain	Q8NFW1	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
COL24A1		ENSG00000171502	Collagen type XXIV alpha 1 chain	Q17RW2	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL26A1	EMI6, EMID2, Emu2	ENSG00000160963	Collagen type XXVI alpha 1 chain	Q96A83	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL27A1	FLJ11895, KIAA1870, MGC11337	ENSG00000196739	Collagen type XXVII alpha 1 chain	Q8IZC6	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL28A1		ENSG00000215018	Collagen type XXVIII alpha 1 chain	Q2UY09	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
COL2A1	AOM, SEDC, STL1	ENSG00000139219	Collagen type II alpha 1 chain	P02458	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL3A1	EDS4A	ENSG00000168542	Collagen type III alpha 1 chain	P02461	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL4A1		ENSG00000187498	Collagen type IV alpha 1 chain	P02462	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL4A2	DKFZp686I14213, FLJ22259	ENSG00000134871	Collagen type IV alpha 2 chain	P08572	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL4A3		ENSG00000169031	Collagen type IV alpha 3 chain	Q01955	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL4A4	CA44	ENSG00000081052	Collagen type IV alpha 4 chain	P53420	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL4A5	ASLN, ATS	ENSG00000188153	Collagen type IV alpha 5 chain	P29400	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL4A6		ENSG00000197565	Collagen type IV alpha 6 chain	Q14031	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL5A1		ENSG00000130635	Collagen type V alpha 1 chain	P20908	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL5A2		ENSG00000204262	Collagen type V alpha 2 chain	P05997	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL5A3		ENSG00000080573	Collagen type V alpha 3 chain	P25940	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL6A1		ENSG00000142156	Collagen type VI alpha 1 chain	P12109	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL6A3		ENSG00000163359	Collagen type VI alpha 3 chain	P12111	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL6A5	COL29A1, FLJ35880, VWA4	ENSG00000172752	Collagen type VI alpha 5 chain		Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
COL6A6		ENSG00000206384	Collagen type VI alpha 6 chain	A6NMZ7	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL7A1	EBD1, EBDCT, EBR1	ENSG00000114270	Collagen type VII alpha 1 chain	Q02388	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL8A1	C3orf7, MGC9568	ENSG00000144810	Collagen type VIII alpha 1 chain	P27658	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL8A2	FECD, FECD1, PPCD, PPCD2	ENSG00000171812	Collagen type VIII alpha 2 chain	P25067	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COL9A1		ENSG00000112280	Collagen type IX alpha 1 chain	P20849	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL9A2	EDM2, MED	ENSG00000049089	Collagen type IX alpha 2 chain	Q14055	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COL9A3	DJ885L7.4.1, EDM3, FLJ90759, IDD, MED	ENSG00000092758	Collagen type IX alpha 3 chain	Q14050	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
COLEC10	CL-L1	ENSG00000184374	Collectin subfamily member 10	Q9Y6Z7	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COLEC11	CL-K1, MGC3279	ENSG00000118004	Collectin subfamily member 11	Q9BWP8	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COMP	EDM1, EPD1, MED, PSACH, THBS5	ENSG00000105664	Cartilage oligomeric matrix protein	P49747	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
COPA	HEP-COP	ENSG00000122218	Coatomer protein complex subunit alpha	P53621	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CORT	MGC32686	ENSG00000241563	Cortistatin	O00230	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CP		ENSG00000047457	Ceruloplasmin	P00450	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CPA1	CPA	ENSG00000091704	Carboxypeptidase A1	P15085	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CPA2		ENSG00000158516	Carboxypeptidase A2	P48052	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CPA3		ENSG00000163751	Carboxypeptidase A3	P15088	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CPA4	CPA3	ENSG00000128510	Carboxypeptidase A4	Q9UI42	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CPA5		ENSG00000158525	Carboxypeptidase A5	Q8WXQ8	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CPA6	CPAH	ENSG00000165078	Carboxypeptidase A6	Q8N4T0	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CPAMD8	K-CAP, KIAA1283, VIP	ENSG00000160111	C3 and PZP like, alpha-2-macroglobulin domain containing 8	Q8IZJ3	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CPB1		ENSG00000153002	Carboxypeptidase B1	P15086	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
